qst_reginhard_donations|La Petition de Reginhard : Donation pour les victimes de la guerre.
qst_recruit_an_army|Mission du Jarl: Secourir les soldats.
qst_doccinga_assault|Attaque viking: Sauver Doccinga de l'assault de Sven.
qst_doccinga_interrogation|Attaque viking: Interroger un Viking.
qst_getting_ship|Attaque viking: Un Drakkar et une Fille.
qst_notes_companions|Note sur ses compagnons.
qst_notes_global|Ses notes.
qst_notes_frisa|Ses notes sur Friese.
qst_notes_danmork|Ses notes sur Danmark.
qst_notes_englaland|Ses notes sur Englaland.
qst_sven_lair|La Vengence: L'antre du loup.
qst_danmork_protection|La Vengence: Sous l'aile du roi Horek.
qst_revenge_sigurd|La Vengence: Demander a Sigurd a propos de 'Le serpent dans les yeux'
qst_collect_smen|Mission de Sigurd: Secourir l'armee de l'attaque de Sigurd.
qst_bodo_letter|La Vengence: Retrieving a Most Important Letter.
qst_the_holmgang|Le Holmgang: Tuer un acolyte.
qst_the_fleet|La Vengence: Envahir l'Angleterre.
qst_sven_traitor|La Vengence: Sven le traite.
qst_wessex_foragers|Le Siege: West Seaxe Fourrageurs.
qst_the_messengersn|Le Siege: Le Messager.
qst_the_alliance|La Vengence: L'Alliance.
qst_welsh_and_pictish|Le conquerant: Servir la cause.
qst_cathach_colum|Etre un Viking: 'Le Cathach de Colum Cille'.
qst_entregando_pieles|Etre un Viking: Commercer des fourrures.
qst_revenge_exchange|La Vengence: La ferme.
qst_ulf_testigo|Sauver son cou: Courtiser les Fermiers et le Jarls.
qst_the_thing|La Vengence: L'assemblee.
qst_douar_an_enez|La Vengence: Douar-an-Enez.
qst_aescesdun|La battaille: Aescesdun.
qst_svenbn_final|La Vengence: Sven au cou de taureau.
qst_old_roman|Le mur d'Hadrian: Sauver l'affame.
qst_vc_menu|La Conquete Vinking menu systeme.
qst_vc_wounds|La Conquete Vinking blesse le systeme.
qst_sea_battle_spawn|un systeme d'apparition.
qst_team_0_ships|un systeme d'apparition.
qst_team_1_ships|un systeme d'apparition.
qst_collect_men|La Vengence: Aller voir Doccinga
qst_learn_where_merchant_brother_is|La Vengence: Parler de Jarl a Kennemer.
qst_save_relative_of_merchant|Attaquer le repere des bandits
qst_save_town_from_bandits|Sauver la ville des bandis
qst_quests_end|Fin des quete
